name,train_rmse,val_rmse,test_rmse,val_iqr_outliers,val_iqr_upper_fence,val_max_pred,val_outlier_true_mean,val_outlier_true_max,val_outlier_true_ge_q95,val_top_pred_y_true,uses_iso,iso_kind,iso_weight,tail_q,tail_resid_q,tail_gain,tail_power,iqr_top_k,tail_resid_scale,tail_start,tail_denom
isostep_w1.5_q0.99_rq0.75_g0_p1_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.99,0.75,0.0,1.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isostep_w1.5_q0.975_rq0.9_g0_p1_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.975,0.9,0.0,1.0,1,0.005919297120858917,0.0035246045408966775,0.00011336915457489183
isostep_w1.5_q0.99_rq0.75_g0_p2_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.99,0.75,0.0,2.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isostep_w1.5_q0.95_rq0.9_g0_p2_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.95,0.9,0.0,2.0,1,0.007281942472421179,0.0034749265569206113,0.00016304713855095796
isostep_w1.5_q0.95_rq0.75_g0_p1_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.95,0.75,0.0,1.0,1,0.0014188515830095157,0.0034749265569206113,0.00016304713855095796
isostep_w1.5_q0.99_rq0.9_g0_p2_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.99,0.9,0.0,2.0,1,0.0049981370733367505,0.0035725449826474777,6.542871282409161e-05
isostep_w1.5_q0.95_rq0.75_g0_p2_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.95,0.75,0.0,2.0,1,0.0014188515830095157,0.0034749265569206113,0.00016304713855095796
isostep_w1.5_q0.975_rq0.75_g0_p2_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.975,0.75,0.0,2.0,1,0.0010273347544869128,0.0035246045408966775,0.00011336915457489183
isostep_w1.5_q0.99_rq0.9_g0_p1_iqr1,0.005486484683856078,0.005698697120979861,0.008406418017732993,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.99,0.9,0.0,1.0,1,0.0049981370733367505,0.0035725449826474777,6.542871282409161e-05
isopchip_w1.5_q0.99_rq0.75_g0.5_p1_iqr1,0.00548655730643026,0.005698697530794691,0.008406394653171449,1,0.006074258915288805,0.006075258915288805,0.00500254153267,0.00500254153267,0,0.00500254153267,True,pchip,1.5,0.99,0.75,0.5,1.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isostep_w1.5_q0.99_rq0.75_g0.5_p2_iqr1,0.005486541789335177,0.005698697628327819,0.00840640688308424,1,0.006074258915288805,0.006075258915288805,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.99,0.75,0.5,2.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isopchip_w1.5_q0.99_rq0.75_g2.5_p1_iqr1,0.0054869075008304995,0.005698698016199885,0.008406305205412612,1,0.006074258915288805,0.006075258915288805,0.00500254153267,0.00500254153267,0,0.00500254153267,True,pchip,1.5,0.99,0.75,2.5,1.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isostep_w1.5_q0.99_rq0.75_g1_p2_iqr1,0.005486609578115735,0.005698698326800829,0.008406395784088954,1,0.006074258915288805,0.006075258915288805,0.00500254153267,0.00500254153267,0,0.00500254153267,True,step,1.5,0.99,0.75,1.0,2.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isopchip_w1.5_q0.99_rq0.75_g2.5_p1_iqr0,0.005486850298013869,0.005698698847648325,0.008406114182962204,0,0.006074258915288805,0.0038919458948653758,,,0,0.00500254153267,True,pchip,1.5,0.99,0.75,2.5,1.0,0,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
isopchip_w1.5_q0.99_rq0.75_g0_p1_iqr1,0.005486484683856078,0.005698699144733516,0.008406417560224061,1,0.006074258915288805,0.00607513664708158,0.00500254153267,0.00500254153267,0,0.00500254153267,True,pchip,1.5,0.99,0.75,0.0,1.0,1,0.00018486793173638912,0.0035725449826474777,6.542871282409161e-05
