ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S33996,115,1,2026-06-07,34,24,0.003344227316347,0.0088378730422644,0.4777710128239809,val,4
S35277,115,1,2026-06-07,59,29,0.0025889306857711,0.033993282442748,0.4149089295535423,val,4
S36923,115,1,2026-06-07,17,24,0.0034443045913761,0.0,0.5100121845464366,val,4
S39174,115,1,2026-06-07,18,15,0.0020593894869329,0.0,0.4231726377674496,val,4
S42559,115,1,2026-06-07,26,13,0.0029484957210711,0.0,0.3665029650226703,val,4
S02640,115,2,2026-06-07,62,17,0.0027702891469842,0.0,0.3772540607391212,val,1
S04793,115,2,2026-06-07,55,21,0.0032326868523425,0.0,0.4523711255092328,val,1
S06448,115,2,2026-06-07,28,25,0.003451175858443,0.0,0.4652761023541636,val,1
S07508,115,2,2026-06-07,20,16,0.0032623993467933,0.0071175498443304,0.4467714533738472,val,1
S08193,115,2,2026-06-07,26,18,0.0033959503272813,0.0081444701178244,0.4678092021220812,val,1
S10435,115,2,2026-06-07,43,14,0.0019652154020137,0.0,0.3275865046166553,val,1
S10947,115,2,2026-06-07,29,20,0.0034336760933725,0.0145881846466939,0.4821002480846128,val,1
S11931,115,2,2026-06-07,48,27,0.0033273806067294,0.0,0.4344456742649692,val,1
S13463,115,2,2026-06-07,53,13,0.0026757285578711,0.0,0.4678068744303674,val,1
S14403,115,2,2026-06-07,53,30,0.0027156753333992,0.0,0.4364630005825651,val,1
S19367,115,2,2026-06-07,24,17,0.0034048929484618,0.0052054421483708,0.4823330365465379,val,1
S24587,115,2,2026-06-07,22,23,0.0034835530809625,0.0,0.4931480886817393,val,1
S24867,115,2,2026-06-07,42,31,0.0028203843157154,0.0020442075302518,0.4217231445692297,val,1
S25357,115,2,2026-06-07,47,15,0.0032312582862791,0.0,0.4951848600583821,val,1
S25767,115,2,2026-06-07,50,26,0.0033864427798603,0.0,0.4597814081791737,val,1
S30433,115,2,2026-06-07,44,27,0.0032280312416208,0.0110061065067791,0.461659733417084,val,1
S30937,115,2,2026-06-07,63,17,0.0025832219607029,0.0,0.38810780686015,val,1
S31387,115,2,2026-06-07,32,32,0.0022849626536249,0.0,0.3783134749290313,val,1
S32334,115,2,2026-06-07,22,18,0.0034466510392326,0.0,0.4752204132014346,val,1
S33995,115,2,2026-06-07,53,24,0.0033131012606972,0.0239551744221075,0.4394153060238863,val,1
S33996,115,2,2026-06-07,33,24,0.0034424939473427,0.0088378730422644,0.4777710128239809,val,1
S35277,115,2,2026-06-07,58,29,0.0024817176344797,0.033993282442748,0.4149089295535423,val,1
S36923,115,2,2026-06-07,16,24,0.0033332497060091,0.0,0.5100121845464366,val,1
S39174,115,2,2026-06-07,17,16,0.0021699556256344,0.0,0.4231726377674496,val,1
S42559,115,2,2026-06-07,22,14,0.0023772058662679,0.0,0.3665029650226703,val,1
S02640,115,2,2026-06-07,64,18,0.0024678488965027,0.0,0.3772540607391212,val,2
S04793,115,2,2026-06-07,56,21,0.0033769202051355,0.0,0.4523711255092328,val,2
S06448,115,2,2026-06-07,29,25,0.0034179438147872,0.0,0.4652761023541636,val,2
S07508,115,2,2026-06-07,19,16,0.0032940984745468,0.0071175498443304,0.4467714533738472,val,2
S08193,115,2,2026-06-07,25,18,0.0033951291971792,0.0081444701178244,0.4678092021220812,val,2
S10435,115,2,2026-06-07,42,14,0.0017751668611821,0.0,0.3275865046166553,val,2
S10947,115,2,2026-06-07,28,20,0.003469177539894,0.0145881846466939,0.4821002480846128,val,2
S11931,115,2,2026-06-07,49,27,0.0033147607674104,0.0,0.4344456742649692,val,2
S13463,115,2,2026-06-07,54,13,0.0022835490925598,0.0,0.4678068744303674,val,2
S14403,115,2,2026-06-07,53,31,0.0021446818739824,0.0,0.4364630005825651,val,2
S19367,115,2,2026-06-07,25,17,0.003414315612461,0.0052054421483708,0.4823330365465379,val,2
S24587,115,2,2026-06-07,23,23,0.0034379713500146,0.0,0.4931480886817393,val,2
S24867,115,2,2026-06-07,43,31,0.0028981865956045,0.0020442075302518,0.4217231445692297,val,2
S25357,115,2,2026-06-07,48,15,0.0032185683193254,0.0,0.4951848600583821,val,2
S25767,115,2,2026-06-07,49,26,0.0033998236905971,0.0,0.4597814081791737,val,2
S30433,115,2,2026-06-07,45,27,0.0032974997318683,0.0110061065067791,0.461659733417084,val,2
S30937,115,2,2026-06-07,66,23,0.0025926660469957,0.0,0.38810780686015,val,2
S31387,115,2,2026-06-07,33,32,0.0025487699347507,0.0,0.3783134749290313,val,2
S32334,115,2,2026-06-07,21,18,0.0033815789771943,0.0,0.4752204132014346,val,2
S33995,115,2,2026-06-07,52,24,0.0032615016154301,0.0239551744221075,0.4394153060238863,val,2
S33996,115,2,2026-06-07,32,24,0.0033649930904649,0.0088378730422644,0.4777710128239809,val,2
S35277,115,2,2026-06-07,56,30,0.002021334530386,0.033993282442748,0.4149089295535423,val,2
S36923,115,2,2026-06-07,15,24,0.0032182434158441,0.0,0.5100121845464366,val,2
S39174,115,2,2026-06-07,16,17,0.0027008856097223,0.0,0.4231726377674496,val,2
S42559,115,2,2026-06-07,21,14,0.0012448172922898,0.0,0.3665029650226703,val,2
S02640,115,2,2026-06-07,60,17,0.003111421153058,0.0,0.3772540607391212,val,3
S04793,115,2,2026-06-07,52,21,0.0033444591187026,0.0,0.4523711255092328,val,3
S06448,115,2,2026-06-07,26,25,0.0033978778732273,0.0,0.4652761023541636,val,3
S07508,115,2,2026-06-07,22,16,0.0033267189609843,0.0071175498443304,0.4467714533738472,val,3
S08193,115,2,2026-06-07,28,18,0.0034670860208379,0.0081444701178244,0.4678092021220812,val,3
S10435,115,2,2026-06-07,45,14,0.0030802906688658,0.0,0.3275865046166553,val,3
S10947,115,2,2026-06-07,31,20,0.0034346944032133,0.0145881846466939,0.4821002480846128,val,3
S11931,115,2,2026-06-07,46,27,0.0031950658312391,0.0,0.4344456742649692,val,3
S13463,115,2,2026-06-07,44,11,0.001198238359768,0.0,0.4678068744303674,val,3
S14403,115,2,2026-06-07,55,30,0.0026070062100169,0.0,0.4364630005825651,val,3
S19367,115,2,2026-06-07,22,17,0.0034863165891221,0.0052054421483708,0.4823330365465379,val,3
S24587,115,2,2026-06-07,20,23,0.0034626700872667,0.0,0.4931480886817393,val,3
S24867,115,2,2026-06-07,40,31,0.002980446925014,0.0020442075302518,0.4217231445692297,val,3
S25357,115,2,2026-06-07,45,15,0.0028827832563857,0.0,0.4951848600583821,val,3
S25767,115,2,2026-06-07,52,26,0.0033318311034883,0.0,0.4597814081791737,val,3
S30433,115,2,2026-06-07,42,27,0.0033939589012631,0.0110061065067791,0.461659733417084,val,3
S30937,115,2,2026-06-07,61,15,0.001998701475664,0.0,0.38810780686015,val,3
S31387,115,2,2026-06-07,30,31,0.0027702377668962,0.0,0.3783134749290313,val,3
S32334,115,2,2026-06-07,24,18,0.0034301381383486,0.0,0.4752204132014346,val,3
S33995,115,2,2026-06-07,55,24,0.0032391107630509,0.0239551744221075,0.4394153060238863,val,3
S33996,115,2,2026-06-07,35,24,0.0034349986211497,0.0088378730422644,0.4777710128239809,val,3
S35277,115,2,2026-06-07,59,28,0.0025320462177244,0.033993282442748,0.4149089295535423,val,3
S36923,115,2,2026-06-07,18,24,0.0033688307877437,0.0,0.5100121845464366,val,3
S39174,115,2,2026-06-07,20,14,0.0010561101747494,0.0,0.4231726377674496,val,3
S42559,115,2,2026-06-07,25,13,0.0028320249482639,0.0,0.3665029650226703,val,3
S02640,115,2,2026-06-07,61,17,0.0031038132487301,0.0,0.3772540607391212,val,4
S04793,115,2,2026-06-07,54,21,0.0033636223359643,0.0,0.4523711255092328,val,4
S06448,115,2,2026-06-07,27,25,0.0034849306735332,0.0,0.4652761023541636,val,4
S07508,115,2,2026-06-07,21,16,0.0032373288367855,0.0071175498443304,0.4467714533738472,val,4
S08193,115,2,2026-06-07,27,18,0.0034194686521887,0.0081444701178244,0.4678092021220812,val,4
S10435,115,2,2026-06-07,44,14,0.0030835696764513,0.0,0.3275865046166553,val,4
S10947,115,2,2026-06-07,30,20,0.003434513242033,0.0145881846466939,0.4821002480846128,val,4
S11931,115,2,2026-06-07,47,27,0.0032863232786523,0.0,0.4344456742649692,val,4
S13463,115,2,2026-06-07,50,12,0.0011549274065532,0.0,0.4678068744303674,val,4
S14403,115,2,2026-06-07,54,30,0.0025219961245506,0.0,0.4364630005825651,val,4
S19367,115,2,2026-06-07,23,17,0.0034645743795834,0.0052054421483708,0.4823330365465379,val,4
S24587,115,2,2026-06-07,21,23,0.0034388052132713,0.0,0.4931480886817393,val,4
S24867,115,2,2026-06-07,41,31,0.0027846090522053,0.0020442075302518,0.4217231445692297,val,4
